,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,year
0,2015-09-06,22455,142,188,58,38,47,21,1.0,12,5,2015
1,2015-09-12,48385,110,304,152,48,83,38,5.0,31,5,2015
2,2015-09-19,23413,24,184,102,0,83,4,0.0,0,7,2015
3,2015-09-26,18020,169,238,46,15,68,44,4.0,22,8,2015
4,2015-10-10,7123,85,205,40,4,71,7,0.0,0,6,2015
5,2015-10-17,22144,162,125,22,22,60,12,0.0,0,7,2015
6,2015-10-24,9400,129,222,4,11,65,12,0.0,0,5,2015
7,2015-10-31,5985,165,76,46,-2,62,7,0.0,0,7,2015
8,2015-11-07,7897,125,329,86,3,92,69,8.0,55,6,2015
9,2015-11-21,3924,123,221,61,9,53,28,3.0,25,5,2015
