,year,TSU score_new,opponent score_new,scorediff_new,scorediff_abs_new,attendance_new,TSUrushyards_new,TSUreceiveyards_new,TSUkreturnyards_new,TSUpreturnyards_new,TSUtackleyd_new,TSUsacks_new,TSUsackyd_new,TSUpunt_new,locale_01,winloss_01,gametype_01
0,2003,37.0,20.0,17.0,17.0,18124.0,113.0,365.0,69.0,18.75392670157068,33.0,3.0,21.0,5.0,1,1,0
1,2003,24.0,31.0,-7.0,7.0,18085.0,141.0,146.0,147.0,8.0,22.0,0.0,0.0,7.0,0,0,0
2,2003,44.0,14.0,30.0,30.0,16985.230366492146,209.0,132.0,138.0,18.75392670157068,26.0,1.0,4.0,5.0,0,1,0
3,2003,7.0,10.0,-3.0,3.0,16985.230366492146,153.0,138.0,86.0,2.0,22.0,0.0,0.0,6.0,0,0,0
4,2003,41.0,10.0,31.0,31.0,8434.0,142.0,285.0,11.0,29.0,46.0,4.0,22.0,3.0,1,1,1
5,2003,27.0,23.0,4.0,4.0,8127.0,182.0,297.0,33.0,52.0,44.0,4.0,30.0,2.0,0,1,1
6,2003,7.0,34.0,-27.0,27.0,8023.0,47.0,175.0,90.0,-17.0,9.0,1.0,9.0,6.0,1,0,1
7,2003,29.0,24.0,5.0,5.0,10360.0,132.0,271.0,50.0,45.0,34.0,2.0,24.0,8.0,0,1,0
8,2003,24.0,14.0,10.0,10.0,25037.0,223.0,184.0,8.0,9.0,23.0,2.0,12.0,5.0,1,1,1
9,2003,35.0,52.0,-17.0,17.0,5375.0,149.0,196.0,139.0,18.0,23.0,2.0,14.0,5.0,0,0,1
10,2003,38.0,43.0,-5.0,5.0,3875.0,144.0,371.0,112.0,0.0,32.0,4.0,20.0,5.162303664921466,1,0,1
11,2003,35.0,10.0,25.0,25.0,2814.0,191.0,195.0,63.0,15.0,37.0,5.0,28.0,7.0,0,1,1
12,2004,42.0,7.0,35.0,35.0,25117.0,152.0,203.0,24.0,26.0,35.0,2.0,12.0,4.0,1,1,0
13,2004,27.0,13.0,14.0,14.0,7019.0,156.0,158.0,34.0,32.0,25.350785340314136,4.0,30.0,7.0,0,1,1
14,2004,21.0,20.0,1.0,1.0,16985.230366492146,164.0,149.0,39.0,10.0,19.0,2.0,7.0,7.0,0,1,0
15,2004,15.0,21.0,-6.0,6.0,16985.230366492146,161.0,163.0,49.0,32.0,25.350785340314136,5.0,13.534031413612563,9.0,0,0,0
16,2004,13.0,30.0,-17.0,17.0,16985.230366492146,22.0,173.0,57.0,0.0,17.0,1.0,4.0,9.0,0,0,0
17,2004,35.0,49.0,-14.0,14.0,14722.0,106.0,381.0,120.0,0.0,0.0,0.0,0.0,4.0,0,0,1
18,2004,36.0,42.0,-6.0,6.0,5041.0,290.0,211.0,127.0,36.0,23.0,1.0,5.0,4.0,1,0,0
19,2004,24.0,34.0,-10.0,10.0,5422.0,22.0,192.0,100.0,18.75392670157068,6.0,0.0,0.0,8.0,0,0,1
20,2004,38.0,36.0,2.0,2.0,23421.0,243.0,215.0,76.0,22.0,31.0,2.0,12.0,7.0,1,1,1
21,2004,14.0,29.0,-15.0,15.0,7100.0,194.0,162.0,95.0,63.0,25.0,1.0,5.0,6.0,0,0,1
22,2004,13.0,30.0,-17.0,17.0,4864.0,83.0,142.0,130.0,0.0,16.0,0.0,0.0,8.0,1,0,1
23,2005,14.0,27.0,-13.0,13.0,25342.0,72.0,154.0,62.0,32.0,20.0,2.0,13.0,4.0,1,0,0
24,2005,20.0,14.0,6.0,6.0,16985.230366492146,286.0,103.0,11.0,47.0,29.0,3.0,16.0,3.0,0,1,0
25,2005,20.0,42.0,-22.0,22.0,5263.0,77.0,170.0,110.0,-2.0,17.0,1.0,6.0,6.0,0,0,1
26,2005,7.0,12.0,-5.0,5.0,16985.230366492146,26.0,238.0,10.0,67.0,56.0,2.089005235602094,13.534031413612563,6.0,0,0,0
27,2005,3.0,16.0,-13.0,13.0,42310.0,117.0,115.0,99.0,49.0,56.0,6.0,37.0,6.0,0,0,0
28,2005,31.0,20.0,11.0,11.0,10226.0,233.0,78.0,71.0,53.0,41.0,2.0,11.0,8.0,0,1,1
29,2005,3.0,33.0,-30.0,30.0,6490.0,157.0,185.0,114.0,14.0,9.0,0.0,0.0,5.0,1,0,1
30,2005,11.0,31.0,-20.0,20.0,8278.0,87.0,160.0,78.0,3.0,20.0,2.0,8.0,7.0,0,0,0
31,2005,3.0,27.0,-24.0,24.0,23481.0,50.0,196.0,90.0,0.0,26.0,1.0,14.0,5.0,1,0,1
32,2005,24.0,32.0,-8.0,8.0,2512.0,141.0,286.0,128.0,1.0,20.0,1.0,7.0,5.0,0,0,1
33,2005,0.0,49.0,-0.17801047120418848,14.502617801047121,4779.0,-18.0,150.0,138.0,0.0,6.0,0.0,0.0,8.0,1,0,1
34,2006,20.0,27.0,-7.0,7.0,19487.0,156.0,206.0,105.0,0.0,3.0,0.0,0.0,2.0,1,0,0
35,2006,25.0,15.0,10.0,10.0,10613.0,111.0,230.0,102.0,0.0,38.0,3.0,23.0,5.0,1,1,1
36,2006,31.0,30.0,1.0,1.0,16985.230366492146,146.0,167.0,77.0,24.0,18.0,1.0,6.0,2.0,0,1,0
37,2006,9.0,38.0,-29.0,29.0,27460.0,71.0,181.0,70.0,0.0,25.0,1.0,7.0,3.0,1,0,0
38,2006,22.0,25.0,-3.0,3.0,16985.230366492146,227.0,210.0,98.0,16.0,14.0,1.0,4.0,4.0,0,0,0
39,2006,30.0,20.0,10.0,10.0,9720.0,310.0,169.0,45.0,4.0,15.0,1.0,8.0,4.0,1,1,1
40,2006,38.0,31.0,7.0,7.0,11800.0,103.0,260.0,119.0,20.0,26.0,3.0,20.0,6.0,0,1,1
41,2006,29.0,7.0,22.0,22.0,18758.0,247.0,105.0,23.0,13.0,28.0,3.0,16.0,3.0,1,1,0
42,2006,3.0,29.0,-26.0,26.0,5912.0,49.0,162.0,115.0,0.0,22.0,1.0,10.0,6.0,0,0,1
43,2006,31.0,0.0,31.0,31.0,4271.0,133.0,152.0,0.0,17.0,27.0,4.0,23.0,4.0,1,1,1
44,2006,3.0,20.0,-17.0,17.0,5500.0,95.0,162.0,126.0,7.0,30.0,2.0,14.0,1.0,0,0,1
45,2007,23.0,49.0,-26.0,26.0,23440.0,206.0,176.0,154.0,35.0,17.0,2.0,15.0,6.0,1,0,0
46,2007,16.0,13.0,3.0,3.0,16985.230366492146,153.0,232.0,84.0,24.0,30.0,2.0,16.0,5.0,0,1,0
47,2007,33.0,32.0,1.0,1.0,8359.0,238.0,233.0,83.0,14.0,44.0,3.0,26.0,3.0,0,1,1
48,2007,34.0,41.0,-7.0,7.0,15371.0,133.0,316.0,135.0,15.0,56.0,3.0,36.0,7.0,0,0,0
49,2007,17.0,18.0,-1.0,1.0,16985.230366492146,177.0,309.0,111.0,33.0,28.0,3.0,23.0,4.0,0,0,0
50,2007,45.0,28.0,17.0,17.0,9369.0,320.0,138.0,64.0,8.0,23.0,0.0,0.0,4.0,0,1,1
